X_Lon,Y_Lat,PM2.5
116.35,39.45,165
115.75,39.55,97
116.25,39.55,173
116.35,39.55,172
116.45,39.55,165
115.55,39.65,73
115.65,39.65,66
115.75,39.65,76
115.85,39.65,95
115.95,39.65,100
116.05,39.65,113
116.15,39.65,128
116.25,39.65,154
116.35,39.65,159
116.45,39.65,163
116.55,39.65,171
116.65,39.65,178
116.75,39.65,181
115.45,39.75,57
115.55,39.75,79
115.65,39.75,76
115.75,39.75,87
115.85,39.75,69
115.95,39.75,81
116.05,39.75,99
116.15,39.75,116
116.25,39.75,142
116.35,39.75,151
116.45,39.75,163
116.55,39.75,180
116.65,39.75,200
116.75,39.75,218
116.85,39.75,213
115.55,39.85,75
115.65,39.85,60
115.75,39.85,56
115.85,39.85,59
115.95,39.85,62
116.05,39.85,76
116.15,39.85,115
116.25,39.85,139
116.35,39.85,149
116.45,39.85,155
116.55,39.85,181
116.65,39.85,228
116.75,39.85,234
116.85,39.85,229
115.45,39.95,79
115.55,39.95,72
115.65,39.95,50
115.75,39.95,59
115.85,39.95,86
115.95,39.95,57
116.05,39.95,77
116.15,39.95,109
116.25,39.95,135
116.35,39.95,144
116.45,39.95,163
116.55,39.95,196
116.65,39.95,224
116.75,39.95,238
115.55,40.05,74
115.65,40.05,73
115.75,40.05,79
115.85,40.05,55
115.95,40.05,83
116.05,40.05,76
116.15,40.05,101
116.25,40.05,123
116.35,40.05,136
116.45,40.05,166
116.55,40.05,199
116.65,40.05,245
116.75,40.05,263
116.95,40.05,252
115.75,40.15,83
115.85,40.15,84
115.95,40.15,76
116.05,40.15,65
116.15,40.15,94
116.25,40.15,124
116.35,40.15,137
116.45,40.15,148
116.55,40.15,202
116.65,40.15,257
116.75,40.15,302
116.85,40.15,288
116.95,40.15,254
117.05,40.15,228
117.15,40.15,217
117.25,40.15,211
115.95,40.25,84
116.05,40.25,57
116.15,40.25,85
116.25,40.25,118
116.35,40.25,135
116.45,40.25,142
116.55,40.25,171
116.65,40.25,232
116.75,40.25,286
116.85,40.25,286
116.95,40.25,230
117.05,40.25,203
117.15,40.25,203
117.25,40.25,192
115.95,40.35,58
116.05,40.35,72
116.15,40.35,97
116.25,40.35,99
116.35,40.35,108
116.45,40.35,132
116.55,40.35,152
116.65,40.35,178
116.75,40.35,191
116.85,40.35,186
116.95,40.35,182
117.05,40.35,166
117.15,40.35,145
115.85,40.45,60
115.95,40.45,54
116.05,40.45,65
116.15,40.45,87
116.25,40.45,120
116.35,40.45,105
116.45,40.45,91
116.55,40.45,129
116.65,40.45,148
116.75,40.45,123
116.85,40.45,128
116.95,40.45,147
117.05,40.45,137
117.15,40.45,92
115.85,40.55,70
115.95,40.55,63
116.05,40.55,62
116.15,40.55,64
116.25,40.55,87
116.35,40.55,122
116.45,40.55,119
116.55,40.55,118
116.65,40.55,120
116.75,40.55,148
116.85,40.55,123
116.95,40.55,97
117.05,40.55,82
117.15,40.55,83
116.15,40.65,70
116.25,40.65,100
116.35,40.65,101
116.45,40.65,111
116.55,40.65,106
116.65,40.65,104
116.75,40.65,109
116.85,40.65,97
116.95,40.65,85
117.05,40.65,73
117.15,40.65,67
117.25,40.65,63
117.35,40.65,66
117.45,40.65,63
116.25,40.75,87
116.35,40.75,69
116.45,40.75,86
116.55,40.75,98
116.65,40.75,74
116.75,40.75,60
116.85,40.75,84
116.45,40.85,76
116.55,40.85,84
116.65,40.85,70
116.75,40.85,82
116.45,40.95,74
116.55,40.95,75
116.65,40.95,72
116.65,41.05,48
